Year,Units,Crop_type,Value
2016,Percentage loss per annum,Maize,18.25
2017,Percentage loss per annum,Maize,17.5
2018,Percentage loss per annum,Maize,17.65
2016,Percentage loss per annum,Rice,5.54
2017,Percentage loss per annum,Rice,5.19
2018,Percentage loss per annum,Rice,4.84
2016,Percentage loss per annum,Cassava,25.46
2017,Percentage loss per annum,Cassava,25.06
2018,Percentage loss per annum,Cassava,24.66
2016,Percentage loss per annum,Yam,21.96
2017,Percentage loss per annum,Yam,21.46
2018,Percentage loss per annum,Yam,20.96
2016,Percentage loss per annum,Sorghum,7.48
2017,Percentage loss per annum,Sorghum,7.28
2018,Percentage loss per annum,Sorghum,7.08
